golId,game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
41395,ESPORTSTMNT01_2983247,BLUE: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_top,BLUE: first_tower_mid,BLUE: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: second_tower_mid,BLUE: baron,RED: first_tower_bot,BLUE: dragon,RED: first_tower_top,BLUE: second_tower_bot,BLUE: second_tower_top,BLUE: baron,RED: elder_dragon,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,2,0.5,1.1,2,0.5,0.88,2,0.5,1.5,0,0,0,0,0,0,0,0,0,2,0.5,31.0,1,1.0,6.0,3,0.67,6.83,0,0,0,1
41396,ESPORTSTMNT01_2983185,BLUE: first_blood,RED: dragon,RED: herald,RED: dragon,BLUE: first_tower_top,BLUE: herald,RED: first_tower_bot,RED: first_tower_top,BLUE: first_tower_bot,RED: dragon,RED: dragon,RED: baron,BLUE: first_tower_mid,RED: first_tower_mid,RED: second_tower_bot,RED: third_tower_bot,RED: second_tower_mid,RED: inhibitor_bot,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,0.5,3.0,0,0,0,1,0.0,6,0,0,0,0,0,0,2,0.5,24.0,2,0.0,3.29,0
41397,ESPORTSTMNT01_2983223,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: first_tower_mid,RED: dragon,BLUE: herald,BLUE: first_tower_bot,BLUE: dragon,BLUE: first_tower_top,BLUE: dragon,RED: first_tower_top,BLUE: second_tower_bot,BLUE: baron,BLUE: second_tower_mid,BLUE: second_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: dragon,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,6,0.67,7.73,5,0.6,3.75,4,0.75,2.6,0,0,0,2,0.5,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41398,ESPORTSTMNT01_2983134,RED: dragon,BLUE: first_blood,BLUE: herald,RED: dragon,BLUE: first_tower_bot,BLUE: dragon,BLUE: herald,BLUE: first_tower_top,BLUE: first_tower_mid,BLUE: dragon,RED: first_tower_mid,BLUE: second_tower_top,BLUE: dragon,RED: second_tower_mid,BLUE: baron,BLUE: dragon,BLUE: second_tower_mid,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,2,1.0,2.71,1,0.0,0.0,0,0,0,2,0.5,5.4,0,0,0,4,0.5,4.0,4,0.5,5.0,3,0.0,7.8,2,0.5,13,3,0.67,3.75,1
40375,ESPORTSTMNT02_2810723,BLUE: first_blood,RED: dragon,RED: herald,RED: dragon,RED: first_tower_bot,RED: second_tower_bot,RED: herald,BLUE: first_tower_top,RED: dragon,RED: first_tower_mid,RED: first_tower_top,BLUE: baron,BLUE: first_tower_mid,RED: dragon,RED: second_tower_top,RED: second_tower_mid,BLUE: first_tower_bot,RED: baron,RED: elder_dragon,BLUE: second_tower_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,2,0.0,4.5,1,0.0,2.2,1,0.0,12,2,0.5,2.12,0,0,0,1,1.0,10,1,0.0,5.33,0,0,0,1,0.0,1.0,1,0.0,6.33,0
40376,ESPORTSTMNT02_2810757,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: first_tower_top,RED: dragon,BLUE: first_tower_mid,RED: first_tower_bot,BLUE: herald,RED: second_tower_bot,BLUE: second_tower_top,RED: dragon,RED: baron,BLUE: first_tower_bot,RED: first_tower_mid,RED: first_tower_top,RED: dragon,RED: second_tower_top,RED: baron,RED: second_tower_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: third_tower_mid,RED: inhibitor_mid,RED: third_tower_top,RED: elder_dragon,RED: inhibitor_top,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,1,0.0,10.0,0,0,0,3,0.33,3.67,1,1.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40377,ESPORTSTMNT02_2810780,BLUE: dragon,BLUE: first_blood,RED: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: herald,BLUE: first_tower_mid,BLUE: dragon,BLUE: first_tower_top,BLUE: second_tower_mid,BLUE: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: third_tower_mid,BLUE: third_tower_bot,BLUE: inhibitor_mid,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,10,3,0.33,4.36,10,0.6,4.19,2,0.5,1.0,0,0,0,2,0.5,1.75,1,0.0,7.0,6,0.5,4.37,0,0,0,1,1.0,0.5,1
42058,ESPORTSTMNT02_2884042,RED: first_blood,RED: dragon,BLUE: herald,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_mid,RED: first_tower_bot,BLUE: dragon,BLUE: herald,RED: first_tower_mid,RED: first_tower_top,BLUE: first_tower_bot,BLUE: second_tower_bot,RED: dragon,BLUE: baron,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.78,7.75,2,0.5,7.25,2,0.5,3.29,2,1.0,13.5,4,0.25,5.27,1,0.0,0.25,0,0,0,2,1.0,15.0,2,1.0,9.5,2,1.0,7.0,1
42059,ESPORTSTMNT02_2913999,RED: first_blood,BLUE: dragon,BLUE: herald,RED: first_tower_bot,RED: dragon,BLUE: first_tower_top,BLUE: herald,BLUE: dragon,RED: first_tower_mid,BLUE: first_tower_mid,BLUE: first_tower_bot,BLUE: dragon,RED: second_tower_mid,BLUE: baron,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_bot,BLUE: dragon,BLUE: baron,BLUE: second_tower_top,BLUE: inhibitor_mid,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,2,0.0,5.67,1,0.0,2.0,1,0.0,6.5,3,0.33,17.5,3,0.0,4.5,2,1.0,21,1,0.0,14.0,4,0.5,2.15,10,0.4,3.46,0,0,0,1
42060,ESPORTSTMNT02_2914011,BLUE: first_blood,BLUE: dragon,RED: herald,BLUE: dragon,BLUE: dragon,BLUE: herald,BLUE: first_tower_mid,RED: dragon,RED: first_tower_bot,BLUE: first_tower_bot,BLUE: first_tower_top,RED: dragon,BLUE: baron,BLUE: second_tower_mid,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.6,1.05,9,0.67,2.72,1,1.0,5.0,1,1.0,2.0,2,0.5,2.2,2,0.5,0.5,0,0,0,9,0.56,2.18,0,0,0,0,0,0,1
