game_id,event1,event2,event3,event4,event5,first_blood,blue_dragon,blue_tower_bot,blue_others,blue_adc_gp,blue_adc_wr,blue_adc_kda,red_dragon,red_tower_bot,red_others,red_adc_gp,red_adc_wr,red_adc_kda,winner
44698,dragon,first_blood,other,dragon,other,RED,1,0,0,0,0.0,0.0,1,0,2,0,0.0,0.0,RED
44699,first_blood,dragon,other,dragon,tower_bot,BLUE,0,0,0,0,0.0,0.0,2,1,1,0,0.0,0.0,RED
44700,other,first_blood,dragon,other,tower_bot,RED,0,0,2,0,0.0,0.0,1,1,0,0,0.0,0.0,BLUE
44701,first_blood,dragon,other,dragon,other,RED,1,0,1,0,0.0,0.0,1,0,1,0,0.0,0.0,RED
44702,first_blood,dragon,other,dragon,tower_bot,BLUE,0,0,1,0,0.0,0.0,2,1,0,1,1.0,14.0,RED
44703,first_blood,other,dragon,tower_bot,other,BLUE,0,0,2,0,0.0,0.0,1,1,0,0,0.0,0.0,RED
48279,first_blood,other,dragon,tower_bot,other,RED,0,0,1,1,0.0,11.0,1,1,1,6,0.67,9.2,BLUE
44707,dragon,other,first_blood,dragon,other,BLUE,1,0,2,0,0.0,0.0,1,0,0,0,0.0,0.0,BLUE
44710,first_blood,dragon,other,dragon,tower_bot,BLUE,1,1,0,2,0.5,2.89,1,0,1,0,0.0,0.0,RED
45260,first_blood,other,dragon,other,other,RED,1,0,1,4,0.25,2.0,0,0,2,0,0.0,0.0,RED
45261,dragon,other,first_blood,dragon,other,BLUE,2,0,2,1,0.0,2.75,0,0,0,1,0.0,8.0,RED
45262,first_blood,dragon,other,dragon,other,RED,2,0,1,0,0.0,0.0,0,0,1,0,0.0,0.0,BLUE
45263,dragon,first_blood,other,dragon,tower_bot,BLUE,0,1,1,0,0.0,0.0,2,0,0,4,0.5,1.47,RED
45264,first_blood,dragon,other,other,dragon,BLUE,2,0,2,2,0.0,1.83,0,0,0,0,0.0,0.0,BLUE
48277,first_blood,dragon,other,other,dragon,BLUE,2,0,2,0,0.0,0.0,0,0,0,6,0.67,9.2,BLUE
45779,dragon,other,first_blood,dragon,other,BLUE,0,0,0,1,1.0,8.0,2,0,2,1,0.0,8.0,BLUE
45780,first_blood,dragon,other,dragon,other,RED,2,0,0,1,0.0,8.0,0,0,2,0,0.0,0.0,BLUE
45781,first_blood,dragon,other,dragon,other,RED,0,0,0,1,1.0,8.0,2,0,2,3,0.67,21.0,RED
48278,dragon,first_blood,other,dragon,tower_bot,RED,1,1,1,17,0.59,7.35,1,0,0,0,0.0,0.0,BLUE
45272,first_blood,dragon,other,other,dragon,BLUE,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,BLUE
45273,first_blood,dragon,other,other,dragon,BLUE,0,0,0,1,1.0,1.0,2,0,2,0,0.0,0.0,BLUE
45274,dragon,first_blood,tower_bot,other,other,BLUE,1,1,1,4,0.75,6.25,0,0,1,5,0.4,3.0,BLUE
45275,dragon,other,first_blood,dragon,other,RED,2,0,1,3,0.33,3.8,0,0,1,4,0.75,4.29,RED
45276,first_blood,dragon,other,tower_bot,dragon,BLUE,2,1,1,2,0.5,8.0,0,0,0,0,0.0,0.0,BLUE
48360,first_blood,dragon,dragon,other,tower_bot,BLUE,1,0,1,18,0.61,8.2,1,1,0,6,0.83,2.0,BLUE
48361,dragon,other,first_blood,dragon,other,RED,0,0,2,15,0.33,6.0,2,0,0,2,0.5,7.0,RED
48362,first_blood,dragon,other,dragon,other,BLUE,2,0,2,15,0.33,6.0,0,0,0,2,0.5,7.0,BLUE
48363,first_blood,dragon,other,dragon,other,RED,2,0,2,1,1.0,7.0,0,0,0,15,0.33,6.0,BLUE
48365,first_blood,dragon,other,dragon,tower_bot,BLUE,2,1,1,8,0.38,5.39,0,0,0,3,0.67,7.33,BLUE
48366,first_blood,dragon,other,dragon,tower_bot,RED,0,1,1,1,0.0,7.0,2,0,0,2,0.0,14.0,RED
